at,score,content
2025-01-05 20:13:22,5,good
2025-01-05 19:40:34,1,Kenapa tidak bisa login. Malah ada pemberitahuan (user anda sudah diaktifkan diperangkat lain) Padahal ini rekening pribadi saya.. Saya sma sekali tidak pernah membagikan data saya!!!
2025-01-05 19:36:34,1,BNI M-banking dah enak bgt! Kenapa harus suruh pake Wondr sih gk enak bgt itu apk lelet bgt! Mana sekarang lu juga error mulu gk asik bat tolong lah yg udah bagus gak usah di buat jelek sistem M-banking lu dulu dah paling best soalnya
2025-01-05 16:41:10,1,CS NYA LAHHH LAMA BANGETTT UDAH TAU ORANG SIBUK SURUH TUNGGU HADEHH BANYAKIN LAYANAN CS NYA
2025-01-05 16:05:49,1,"Bank kok maling,ga ada angin,ga ada hujan uang 4600 ludes"
2025-01-05 15:55:31,3,"Qris nya boleh dong diperbaiki, setiap mau transaksi selalu gamau detect qris bayarnya, repot banget tiap transaksi kaya gini 🙏"
2025-01-05 12:57:34,1,"baru nabung tiba"" dikuras 50k wow keren"
2025-01-05 12:42:07,1,"Traksasi non kartu selalu bermaslah ga kaya app biru , narik di atm sring dapet uang robek padahal bukan di atm setor tunainya"
2025-01-05 11:46:58,1,"Gk bisa setor tunai lewat mobile tunai, update lah bosku"
2025-01-05 10:36:47,5,ok
2025-01-05 09:09:55,5,BNI M Banking masih lebih baik daripada Wondr..
2025-01-05 08:43:15,5,Mantap
2025-01-05 02:11:12,1,Offline terus
2025-01-05 00:48:07,1,"Setiap tengah malam jam 00.00 selalu maintenance lama banget, tdk bisa transaksi tranfer dll. Kondisi penting tapi aplikasi lambat, kurang memuaskan. Perbaiki dan jangan lama maintenance. Sangat kacau pekerjaan."
2025-01-05 00:14:42,1,"Aplikasi sering eror, sekalinya maintenance lama, transaksi jadi terkendala"
2025-01-05 00:02:36,1,"Mengapa tidak bisa saya donlowad aplikasi ini lagi,kenapa makin tidak berea M BANKING BNI INI?"
2025-01-04 21:40:08,5,"Sedih meninggalkan mu, setelah sekian lama kami bersama mu. 😍😍😍"
2025-01-04 20:32:32,3,Kenapa aplikasi y kadang tidak bisa trbuka🥺
2025-01-04 20:21:59,1,Aplikasinya bagus. Tapi Pelayanan CS nya busukkkkk
2025-01-04 19:47:17,1,"Dulu saldo minim masih bisa transaksi sekarang udah nggak bisa,, udah males pakai app ini . Saldo harus minim 50ribu ."
2025-01-04 17:59:44,3,"Ka maaf kan saya udah punya kartu debit, udah bikin rekening tadi eh pas masuk ke yang satunya yang ""apakah sudah punya kartu debit"" ko nga bisa ya"
2025-01-04 17:13:19,1,"Susah loh cuy buat nya, di suruh ke aplikasih baru wonder tapi wonder ngga bisa tarik tunai tanpa kartu, giliran mau buat m banking lagi susah nya minta ampun. PENYUSAHHH!"
2025-01-04 17:05:50,4,"Kenapa Akun saya jadi keluar dan susah untuk masuk lg,udah bosan verifikasi"
2025-01-04 16:30:38,5,Jujur ya lebih baik BNI mobile banking daripada wondr karena detail transaksi lebih jelas juga di sini lebih detail apk nya
2025-01-04 14:56:17,1,Kenapa sy tidak bisa ngirim ke dana dan selalu muncul tulisan gagal membuat virtual account
2025-01-04 11:10:48,1,Ruwet daftarnya
2025-01-04 11:03:58,5,bagus
2025-01-04 10:12:44,2,Selalu minta login ulang
2025-01-04 08:35:50,5,LEBIH BAIK APLIKASI INI DARIPADA BNI WONDER YAMG BANYAK MASALAH
2025-01-04 03:22:34,1,Gk bisa login
2025-01-04 02:46:07,3,Sayah kasih dulu 3 bintang susah gak
2025-01-04 02:01:49,1,"Gimana ini, verifikasi wajah sama ktp gak pernah bisa!"
2025-01-04 00:41:10,3,Mau tanya rekening bni taplus pegawai..saldo minimal ya yang harus tersisa sekarang berapa.?? Ko sisa 65ribu tidak bisa pake top up/ tarik tunai 50rb
2025-01-03 23:34:46,3,"Koq skrng GGL trus transaksi, katanya dibawah saldo minimal, kan tadinya 15rb apa skrng berubah saldo minimal"
2025-01-03 20:53:50,1,"Saya ubah ke bintang 1, Tolong popup ketika membuka aplikasi diberikan fitur ""jangan tampil lagi"". Pop up untuk menggunakan Wondr by BNI menguras waktu saya berkali2, dimana seharusnya uang itu bisa bergerak dengan mudah dan lancar. Tolong diberi fitur jangan tampil lagi, ini aplikasi uang, jangan rutin iklan pop up."
2025-01-03 19:33:22,1,Aplikasi sangat buruk sering gangguan Pengisian etol gagal tp saldo kepotong Pembayaran Qris saldo kepotong tp tidak masuk ke penerima Tolong di benahi apk mbanking dan servernya Kami sebagai nasabah tidak nyaman dan merasa di rugikan....
2025-01-03 18:01:10,5,Lebih gampang
2025-01-03 13:14:50,4,"Hi min,efek musim dingin sidik jari tidak bisa buat akses masuk m-banking,alhasil m-banking keblokir,bisa masuk pakai nomor tp tetep g bisa tf uang,mohon solusi min terima kasih."
2025-01-03 10:40:19,1,Ganti kartu atm di kampung sampe 2 hari.. ribed.
2025-01-03 09:03:45,5,Terimakasih
2025-01-03 07:12:16,5,Okey
2025-01-03 02:56:48,1,"Saya masih ada saldo 100rb,hari ini saya mau kirim ke e wallet 50rb tpi ngga bisa trus padahal sebelumnya selalu bisa, saya kirim lgi 50rb biar jdi 100rb ehh tetep ngga bisa juga, akhirnya saya hapus dan download lgi pas masuk udh isi sgala macem ehh malah ada keterangan (NIK SUDAH TERDAFTAR) malah suruh ke kantor, ngga jelas.."
2025-01-02 22:13:13,1,Kok ngga bisa dibuka error
2025-01-02 21:50:37,1,"Potongannya banyak banget,admin,saldo minimal,kartu,,blom klo transaksi harus ada saldo minimal yg gk kecil"
2025-01-02 21:32:22,1,"Apa apaan,pin pas mau login udh benar malah salah,dan diminta pergantian pin,pdhl pinnya sudah benar,tapi terbacanya salah,gajelas"
2025-01-02 19:40:21,5,Apakah BNI Mobile Banking ini akan digantikan dengan wonder? Dan mulai kapan aplikasi BNI Mobile Banking ini di nonaktifkan/dihapus ? Mohon tanggapannya
2025-01-02 19:06:32,1,Kenapa aplikasinya nge bug
2025-01-02 17:58:44,1,Erorr
2025-01-02 16:23:27,1,"transfer dari shop* pay ke rek di apk shop* masuk dan transaksi berhasil tapi di rekening ga masuk wkwk costumer service wa ga ada respon masa iya harus dateng langsung ke cabang, udh via email tpi blm ada respon"
2025-01-02 16:22:18,2,kenapa perangkat saya gk kompatibel??
2025-01-02 14:11:17,5,Kode referal nya gimna
2025-01-02 13:19:43,1,Dari kemarin mau bukin m-banking bni ga bisa bisa aneh
2025-01-02 12:43:54,1,"Kenapa susah TF sekarang. Sering banget gagal, bkin kesel!!!"
2025-01-02 12:22:14,1,Tidak dapat melakukan registrasi ulang
2025-01-02 11:32:32,1,Asli jelek bgt pas lagi butuh2nya malah maintance kamprettt👎👎👎👎
2025-01-02 10:55:27,5,Hp baru di setelan pabrik/ di riset pas downlod bni mobile ko ga bisa masuk lgi.
2025-01-02 10:31:38,5,Lebih simpel dan praktis
2025-01-02 10:29:30,5,Keren
2025-01-02 10:17:17,1,"Kenapa aplikasi tidak bisa diakses, sudah 2 hari tidak ada perubahan selalu force close, saya susah bertransaksi karena akses ke ATM / kantor cabang juga cukup jauh."
2025-01-02 10:12:56,1,Live chat merepotkan sangat lama
2025-01-02 08:53:30,3,Maap min kmarin saya tf lewat ewalet ke mbanking saldo nya blm masuk smpe skarang .. Bisa di bantu
2025-01-02 03:09:04,1,Mmakin beci mengunakan bni
2025-01-01 23:12:04,5,Sangat membantu untuk transaksi pembayaran atau pembelian sip
2025-01-01 20:00:43,1,iklan wondr ganggu!!!
2025-01-01 18:57:56,1,"Banyak kali potongan BNI ini, biaya saldo minimal 20rb, biaya kartu 7,5rb, biaya administrasi 10rb... Tiap bulan potongan biaya saldo minimal itu apa sihhhh..."
2025-01-01 18:39:40,3,"Parah bgt, seharian transaksi apapun gk bisa, tiba2 keluarlah, peningkatan layanan lah, ribet bgt, kadin emak gw LG nungguin"
2025-01-01 17:23:32,1,"Sudah jadi nasabah dari lama,hanya karna ganti Hp sudah login dan verifikasi semua,tapi pas mau masuk ke akun bank saya malah tidak dapat digunakan tulisannya dan disuruh ke cabang terdekat untuk aktifasi, Email Csnya juga gak di respon, gak jelas emang"
2025-01-01 16:59:39,3,Suka aja pakai BNI
2025-01-01 16:08:33,1,BNI live chat nya tidur apa yak..komplain gak dibalas2 lama banget..bayar qris gagal saldo gak kembali...makin parah aja
2025-01-01 15:21:25,2,"pengen ambil uang pake mobile tunai malah otp nya gk dikirim2 🥴 dh ditunggu set jam, chat live agent, nyoba berkali2 tetep gk dikirim2 otp nya. buang2 waktu aja, mana live agent nya lama dapetnya, sekalinya dapet lagi tarik tunai malah dia akhiri chat. perbaiki lagi!"
2025-01-01 14:18:23,2,kenapa mau di daftar malah eror
2025-01-01 13:57:13,1,Mengapa saya tidak bisa mengisi saldo dana terus menerus sihh
2025-01-01 12:24:47,5,Mntap
2025-01-01 12:10:18,1,"Kode otp nya udah benar malah salah, tolong diperbaiki lagi"
2025-01-01 11:33:54,5,Sangat bagus
2025-01-01 11:33:14,5,"Dengan adanya aplikasi BNI mobile banking ini. Sangat membantu dn mempermudah sgala trsaksi. Nmun sya m tanya setelah hp dn nmor yg terdaftar hilang g aktif lagi sya m buka aplikasi g bisa"" Id nya sllu slah. Dn nomor yg terdaftar g aktif lgi ini bhai mna y agr bisa terbuka lgi 🙏🙏🙏🙏"
2025-01-01 10:05:34,1,"lawak dah 3 tahun aku pake nih bank, masak ngajukan pelaporan karna uang tf gk masuk tapi saldo terpotong nelp call center cuman untuk dengar mohon menunggu akan kami sambungkan ke call center serta suara music gk jelas sampai habis pulsa 80k, kau kira enak nyari uang 80k? klo misalnya lagi pada offline call center mu karna hari besar gausah sekalian di aktifkan call centernya, merugikan orang tau gak!!!!!! aku pun kerja di bidang jasa jugak tapi gk kemarok gini nyedot uang orang"
2025-01-01 09:43:27,1,BANK TAI
2025-01-01 09:34:40,1,Kenapa setiap bikin userid selalu di suruh hubungi kantor cabang terdekat terus..??
2025-01-01 08:33:50,5,Kenapa gangguan beberapa hari ini gan
2025-01-01 07:56:08,1,"Mau masuk sudah ga bisa Versi android sudah 14 hyper OS Memori sisa banyak masih terpakai 30%, Sangat tergangu pakai BIOMETRIK keluar sendiri (TRANSAKSI TIDAK DAPAT DILANJUTKAN), pakai SANDI keluar lagi (TRANSAKSI TIDAK DAPAT DILANJUTKAN) maksudnya gmn????? .. KECEWA ‼️🤬🤬"
2025-01-01 06:32:23,1,MAU TOPUP DANA AJA SUSAH MENDING PINDAH
2025-01-01 04:34:37,1,Tidak bisa di download sedangkan aplikasi yang lain bisa
2025-01-01 03:24:38,1,Makin buruk ....aplikasi nya tiba tibake blokir sendiri aplikasi. cs lama respon...... sering maintenance lama sekali aduh................makin kesini makin buruk
2025-01-01 03:08:42,1,Knpaa tiba2 tdk bisa melakukan Transaksi ???
2025-01-01 02:15:16,1,lemot parah maintenc lama bener
2025-01-01 02:02:40,1,BNI KENPA GAK BISA TRANSFER YA
2025-01-01 01:41:45,1,terlalu sering error
2025-01-01 01:32:16,2,Heran maslah mulu pas mau tf
2024-12-31 22:32:30,5,"nahhh ... setelah banyak yg komplain, sekarang lancar jaya kembali, trimakasih dev 👍👍👍🙏"
2024-12-31 18:55:48,1,Susah login kode verifikasi gagal terus padahal nomer sudah terdaftar koneksi selalu gagal terus saat verifikasi
2024-12-31 18:29:19,1,Mbanking terburuk diantara perbankan lain.
2024-12-31 18:21:40,2,tf uang sudah kepotong tapi tidak masuk haduuhh bikin takut nih pakai aplikasi ini..
2024-12-31 15:52:04,4,KENAPA SAAT VERIFIKASI WAJAH DAN PERINTAH MENGEDIPKAN MATA SELALU SAJA TIDAK TERDETEKSI SAAT SAYA BERUSAHA BERKALI-KALI MENGEDIP?
2024-12-31 13:56:37,5,Mencoba
2024-12-31 12:11:36,1,Pas antri di cs dapat nomer 32 sedangkan antrian dari jam 8 ampe jam 12 baru nyampe nomer 15. Kursi teller dan cs nya banyak tapi gak ada orangnya.bni cabang probolinggo
2024-12-31 11:18:23,1,"apk eror , gajelas , udah coba masuk berkali kali malah tetep aja gak bisa unistal ajaa lahh , pindah bank aja"
2024-12-31 10:58:35,1,Pas bagian poto selfi KTP malah ga bisa di tekan kan aneh aplikasi nya
2024-12-31 08:19:54,2,"Jujur banget dari semua mobile banking yang pernah ku pakai, BNI Mobile Banking yang paling ribet, harus inget 2 kode, kode pin masuk sama kode transaksi, belum kalau mau tarik tunai tanpa kartu, harus ada OTP nya, iya kalau OTP nya segera dikirim. ini udah nunggu 15 menit an ngga ada kode OTP terkirim, padahal nomornya udah betul. makin males udah pake ini"
2024-12-31 08:17:19,1,Csnya lama banget balasnya
2024-12-31 07:58:11,4,Sudah bagus cuman tidak bisa buat setor tunai Harus pake Wondr sedangkan di Wondr tidak ada fitur setor tunai
2024-12-31 04:50:00,2,"Halo min kenapa mbanking bni ku ada alert gini ya "" Koneksi terputus, Silakan periksa kembali koneksi anda. Jika sedang melakukan transaksi, mohon cek mutasi rekening anda"" jadi gabisa login, apk versi terbaru juga solusi nya dong mana buffer lama banget."
2024-12-31 00:29:58,1,Tolong lah ini kenapa yang biasa minimum saldo 15 sekarang jadi 50
2024-12-30 19:27:38,1,Error
2024-12-30 18:55:58,5,Sangat membantu gx ribet menggunakannya...
2024-12-30 17:19:40,2,setelah Update sering ngeBug 😏 hadehhh...
2024-12-30 17:08:15,2,Saya mau login ko nggak bisa... pasword padahal SDH BNR
2024-12-30 16:57:50,3,Aplikasi yg udah aku dounlot knpa ngga bisa lagi ya Mobil bang kingnya BNI
2024-12-30 16:48:22,4,"Ini benar, tahun depan BNI mobile mau digantikan wondr?"
2024-12-30 16:40:43,1,Anda pastikan sendiri apk anda sampaaaah
2024-12-30 16:23:17,1,Jelek banget
2024-12-30 14:08:25,1,Sangat buruk mau login pun otp gak boleh masuk
2024-12-30 14:03:28,1,buruk dalam customer service
2024-12-30 13:32:02,5,"Jujur aja jauh lebih enak menggunakan aplikasi BNI dari pada Wondr GK ribet Pas make Wondr ah gila byk x masalahnya mulai dari transaksi yg sering terlambat , berhasil tapi belum masuk, data kurang jelas , sering x bug , dan selalu perbaikan dan ketentuan dari Wondr cukup aneh dan terlalu memaksa jadi curiga aku dgn ketentuannya"
2024-12-30 11:47:43,4,Saya kasih bintang 4 dulu ..jika nnti pembukaan rekening saya berjalan lancar saya kasih bintang 5. Saya ingin membuka rekening disini apakah bisa ?? Lalu bagaimana proses untuk kartu debitnya dikirim atau ambil di cabang terdekat??
2024-12-30 11:41:59,1,Kartu kredit brengsek... Sdh lunas ternyata masih berjalan bertahun2... Kapooookkkk....
2024-12-30 11:06:29,2,Mau buka rekening kenapa nge bug aplikasi nya
2024-12-30 03:03:16,1,BNI maling. Transaksi gagal tapi saldo terpotong. Udah seminggu ga di balikin. Di live caht responnya ga da. Robot doang yg bales. Bank maling ya BNI. Ntah kenapa ni blue bird mau kerja sama dengAn maling. Balikin duit gw woi.
2024-12-30 02:17:12,1,KAGAK JELAS MAU TF MALEM PASTI GANGGUAN DARI JAM 11 SAMPE SUBUH TRUS SALDO ENDAPAN YG HADUSNYA 5 RB JADI 50RB
2024-12-30 01:14:58,5,apl bagus jadi mudah untuk top up dan transfer tapi kenapa di sini tulisannya ''apl ini tidak kompitibel dengan perangkat anda'' semoga apk ini ttep berfungsi di hp saya🙏
2024-12-30 00:47:02,5,"Bug sudah diperbaiki,thx"
2024-12-30 00:06:11,1,Aplikasi burik mending pindah bca gapernah gangguan
2024-12-29 23:31:03,1,"Bego,,tidak bisa buat urgent gangguan terusss,,,ada saldo Tapi bilang saldo ngga cukup mksudnya apa lagi,,"
2024-12-29 23:26:59,1,Kecewa sama bni sekrang jam 11 ke atas saldo minimal arus tingall 50rb 🥺
2024-12-29 21:37:02,1,baru mau daftar ehh katanya pin nya salah padahal udah bener nah pas ga jadi daftar ya udah lah tiba tiba kok pin nya malah berubah pas di cek ke atm beneran tolong ini gimana solusi nya kok pin saya berubah mau narik uang
2024-12-29 21:08:16,2,"Kenapa 3 hari terakhir ini gak bisa untuk transfer,, Mohon segera diperbaiki"
2024-12-29 16:49:15,1,Selalu forced stop
2024-12-29 16:23:01,2,"point nya ga nambah2 udah 3 bln lenih kali ada, padahal saya sering banget transaksi ple bangking. huh apk konven"
2024-12-29 15:31:24,1,"SUSAHHH BANGET DIAKSES, nomor call center tidak bisa dihubungi"
2024-12-29 13:54:38,5,"bisa dibantu cara buat rekening, atau adakah yang bisa bantu kasih kode refferalnya agar saya mudah buat rekening lewat MBangking BNI, Terima kasih"
2024-12-29 13:41:40,2,"Miiin, kok gabisa pake qris yaa, mau scan buat bayar gagal terus😭😭😭"
2024-12-29 11:49:09,3,"Gimana nih kak,mau buka rekening tapi pas milih kantor cabang malah ga muncul juga.. perbaiki dong aplikasi nya"
2024-12-29 09:26:34,1,"Ganti data nomor telepon gabisa lewat BNI CALL, padahal di awal udah bertele-tele verifikasi data. Mending pake bank lain. Mana kalau nelpon call centernya berbayar lagi pake pulsa, ga kaya yg lain yang bisa pake internet. Oh iya, bank ini juga punya fitur live chat di aplikasinya. Tapi responnya lama banget dan pengalaman saya ga berhasil udah 3x coba.. Ribet bet bet.."
2024-12-29 07:54:55,1,"Tolong segera di perbaiki, buat daftar mobile banking sudah dapat kode OTP di email, tapi gak ada tempat untuk masukin kode OTP nya di aplikasinya, jangan kalah sama Bank swasta dalam penanganan masalah dan kecangihan sistemnya. Mempermudah jangan mempersulit. Saya ubah penilaian kalau masalah tersebut sudah terselesaikan. Terimakasih"
2024-12-29 05:18:09,1,"Antrian CS lamanya gak main sampai 12 jam, udah masuk dalam waktu 3 manit gak balas harus ngantri lagi 12 jam. Contoh bank sebelah tuh BCA fast respon"
2024-12-29 01:24:30,3,"Ini kenapa ya kok tiba"" tidak bisa di ambil semua saldo nya, kan biasa nya sisa akhir di saldo minimal 15 rb terus tadi pas mau ambil kok gak bisa harus di tinggali 50, ini kenapa dong?"
2024-12-29 00:39:41,4,saat memasukkan kode otp yg telah sesuai dengan yg dikirim tetapi tetap salah kode otpnya kenapa yaa bni mobile banking ?
2024-12-28 17:55:47,2,"Muter muter melulu pas registrasi, puyeng aku. 1 jam registrasi muter muter wae. Jangkrik"
2024-12-28 15:35:31,1,Mau chat sama call centernya aja dibalasnya lama amat. Padahal mau minta tolong cek no polis asuransi bni life. Pengen ke kantor BNI tapi hari biasa saya kerja. Nggak mungkin bisa pergi
2024-12-28 11:21:17,5,ada masalah apa ya ber hari2 ndk bs... ini coba unisntall tetap ndk bs
2024-12-28 09:15:06,2,TRANSFER QRIS GAGAL. SALDO KEPOTONG.. ANEH BIN AJAIB
2024-12-28 09:06:00,1,"uda daftar trus ga bisa, mau daftar lg katanya uda terdaftar pdhal yg sebelumnya gagal. disuruh ke menu rekeningku tapi ga ada pilihannya"
2024-12-28 07:37:20,1,"Transfer gagal,,saldo kepotong tapi sampai saat ini belum di kmbalikan"
